landmark,add_full,add_summary_1,add_summary_2
5D입체영상관,울산광역시 남구 매암동 192-2,남구,매암동
곰장어골목,울산광역시 중구 옥교동 106-2,중구,옥교동
국립재난안전연구원,울산광역시 중구 교동 43-2,중구,교동
꽃바위문화관,울산광역시 동구 방어동 1120-1,동구,방어동
남구국민체육센터,울산광역시 남구 야음동 270-1 남구국민체육센터,남구,야음동
남구문화원,울산광역시 남구 달동 518-7,남구,달동
뉴코아아울렛울산점,울산광역시 남구 달동 1360-3,남구,달동
대현체육관,울산광역시 남구 야음동 684-3,남구,야음동
덕신1차시장,울산광역시 울주군 온산읍 덕신리 1280-21,울주군,온산읍
도로교통공단,울산광역시 중구 교동 137,중구,교동
동구국민체육센터,울산광역시 동구 화정동 208-20,동구,화정동
동구평생학습관,울산광역시 동구 전하동 652-4,동구,전하동
동축사,울산광역시 동구 동부동 565,동구,동부동
등억온천단지,울산광역시 울주군 상북면 등억알프스리 512-1,울주군,상북면
롯데마트진장점,울산광역시 북구 진장동 283-1,북구,진장동
롯데백화점울산점,울산광역시 남구 삼산동 1480-1,남구,삼산동
만정헌,울산광역시 울주군 상북면 명촌리 256,울주군,상북면
매곡산업단지,울산광역시 북구 매곡동 349-8,북구,매곡동
명촌어린이도서관,울산광역시 북구 명촌동 864-2,북구,명촌동
목련암,울산광역시 울주군 두서면 인보리 565-3,울주군,두서면
문수국제양궁장,울산광역시 남구 옥동 산5,남구,옥동
문수야구장,울산광역시 남구 옥동 산5,남구,옥동
문수월드컵경기장,울산광역시 남구 옥동 산5,남구,옥동
문수힐링피크닉장,울산광역시 남구 옥동 851번지 일원,남구,옥동
박상진의사송정역사공원,울산광역시 북구 박상진5로 10,북구,박상진5로
박제상유적,울산광역시 울주군 두동면 만화리 산30-2번지 범서면 척과리 산152,울주군,두동면
북구청소년문화의집,울산광역시 북구 연암동 361-1,북구,연암동
삼일사,울산광역시 중구 서동 193,중구,서동
석계서원,울산광역시 울주군 웅촌면 석천리 385,울주군,웅촌면
성남청소년문화의집,울산광역시 중구 성남동 190-45,중구,성남동
성남프라자,울산광역시 중구 성남동 190-239,중구,성남동
세이브존울산점,울산광역시 남구 삼산동 1377-8,남구,삼산동
야음상가시장,울산광역시 남구 야음동 815-10,남구,야음동
약사동제방유적전시관,울산광역시 중구 약사동 917-1,중구,약사동
언양알프스시장,울산광역시 울주군 언양읍 남부리 124-2,울주군,언양읍
언양종합상가시장,울산광역시 울주군 언양읍 남부리 124-2,울주군,언양읍
에너지경제연구원,울산광역시 중구 성안동 254,중구,성안동
옥골샘도서관,울산광역시 중구 학산동 123,중구,학산동
옥골시장,울산광역시 중구 옥교동 125-13,중구,옥교동
농소1동도서관,울산광역시 북구 호계동 268-8,북구,호계동